...1,TPR_mean,TPR_SD,FDR_mean,FDR_SD,L2_mean,L2_SD,MSPE_mean,MSPE_SD,config,a,number_of_simulations,method,method_id,source_file
1,0.43525,0.0801746042816375,0.842748671532498,0.0238235486185579,17.4806310248242,3.33610716824406,16.5492386296965,3.56481088368608,(ii),100,100,SVI,(III),SVI_results_100_(ii).csv
1,0.608,0.196782195137752,0.950248161281547,0.0167769960765964,10.4921545869879,3.84721728925514,10.2539557879778,3.54328895040468,(iii),100,100,SVI,(III),SVI_results_100_(iii).csv
1,0.5005,0.126230308995466,0.739585428453377,0.059135558104941,10.1210748704449,4.05283544122827,9.79671782382152,4.12924307838003,(iv),100,100,SVI,(III),SVI_results_100_(iv).csv
1,0.52,0.160806050441474,0.796085132794786,0.063636291011484,8.35900379792863,3.10714079856773,7.77064837316324,3.15533118815307,(i),2,100,SVI,(III),SVI_results_2_(i).csv
1,0.4305,0.0854710654566973,0.844154883609099,0.026281452131144,16.2907094050287,2.50769046324011,15.2491467355445,2.66132253104835,(ii),2,100,SVI,(III),SVI_results_2_(ii).csv
1,0.628,0.190734889256785,0.949803206631021,0.0136292103675173,10.4566745265751,4.90249710159328,10.2534558796624,4.86916164200166,(iii),2,100,SVI,(III),SVI_results_2_(iii).csv
1,0.4795,0.116578971369868,0.745452274656643,0.0641302423968162,9.78394591467635,3.25441742237459,9.47239418305511,3.28829411173149,(iv),2,100,SVI,(III),SVI_results_2_(iv).csv
1,0.517,0.169404780918308,0.796834455689159,0.0656528395229937,7.87955969761913,2.70963850799235,7.34275797048669,2.6739676409902,(i),3,100,SVI,(III),SVI_results_3_(i).csv
1,0.437,0.0843483637342567,0.843034741296178,0.0244011216920408,17.0681513716527,3.3164346620626,16.2678481989396,3.43727267548252,(ii),3,100,SVI,(III),SVI_results_3_(ii).csv
1,0.584,0.206324252015358,0.95112108179306,0.0171439077876404,9.53347683220257,2.94145426128431,9.4116814070869,2.99934272891187,(iii),3,100,SVI,(III),SVI_results_3_(iii).csv
1,0.4895,0.104033551309084,0.740006344739572,0.0505469840209974,9.43960974635696,3.10828655582293,9.17106232895312,3.18765533008526,(iv),3,100,SVI,(III),SVI_results_3_(iv).csv
1,0.518,0.150675247811412,0.799109838693588,0.0584193380465979,8.89935877415383,3.58848267165153,8.25513678264121,3.49694192973681,(i),5,100,SVI,(III),SVI_results_5_(i).csv
1,0.429,0.0840664720157312,0.844182730727225,0.0272549149407906,16.8707613456455,3.80205599334953,15.9344195013094,3.68471951643371,(ii),5,100,SVI,(III),SVI_results_5_(ii).csv
1,0.622,0.22544232615958,0.949006279813162,0.0186437418159609,9.75681263899714,3.24690918704649,9.57741149978485,3.10631419271043,(iii),5,100,SVI,(III),SVI_results_5_(iii).csv
1,0.5035,0.106186181071291,0.736486729481651,0.0540728342890019,9.71650619048285,2.88648864954295,9.49098292632224,3.0359072316394,(iv),5,100,SVI,(III),SVI_results_5_(iv).csv
